city,crime_total,crime_city,crime_suburb,PRECIPITATION
"Akron, OH",1861,4398,810,
"Albany-Schenectady-Troy, NY",1077,3219,824,
"Albuquerque, NM",2141,2556,1443,
"Allentown-Bethlehem-Easton, PA-NJ",855,2527,586,
"Atlanta-Sandy Springs-Marietta, GA",1461,2920,1309,
"Augusta-Richmond County, GA-SC",2353,3681,1609,
"Austin-Round Rock, TX",1660,2512,950,747.16
"Bakersfield, CA",1231,1400,1128,
"Baltimore-Towson, MD",1979,3146,1615,
"Baton Rouge, LA",2226,4193,1437,
"Birmingham-Hoover, AL",2127,3603,1743,
"Boise City-Nampa, ID",1100,1247,1027,
"Boston-Cambridge-Quincy, MA-NH",1150,2166,961,
"Bradenton-Sarasota-Venice, FL",1796,2825,1710,
"Bridgeport-Stamford-Norwalk, CT",1163,2465,631,
"Buffalo-Niagara Falls, NY",1393,3217,837,
"Cape Coral-Fort Myers, FL",1203,1143,1225,
"Charleston-North Charleston-Summerville, SC",2897,2490,2979,
"Charlotte-Gastonia-Concord, NC-SC",1997,2577,1520,1065.82
"Chattanooga, TN-GA",1972,2990,1469,
"Chicago-Naperville-Joliet, IL-IN-WI",555,1135,269,"1,005"
"Cincinnati-Middletown, OH-KY-IN",1409,4159,923,
"Cleveland-Elyria-Mentor, OH",1528,4989,637,
"Colorado Springs, CO",875,1077,556,
"Columbia, SC",2288,2399,2265,
"Columbus, OH",2446,4383,1024,903
"Dallas-Fort Worth-Arlington, TX",1667,2460,1191,764
"Dayton, OH",1674,4088,1142,
"Denver-Aurora, CO",955,1236,788,
"Des Moines-West Des Moines, IA",1705,3355,773,
"Detroit-Warren-Livonia, MI",1913,3777,1358,786
"El Paso, TX",1959,1917,2156,184
"Fresno, CA",1551,2141,938,
"Grand Rapids-Wyoming, MI",1834,3068,1424,
"Greensboro-High Point, NC",1250,1469,1036,
"Greenville-Mauldin-Easley, SC",2165,2798,2099,
"Harrisburg-Carlisle, PA",1231,4325,934,
"Hartford-West Hartford-East Hartford, CT",1182,3015,926,
"Honolulu, HI",1282,1282,,
"Houston-Sugar Land-Baytown, TX",2121,2943,1603,977
"Indianapolis-Carmel, IN",1673,3058,426,"1,062"
"Jackson, MS",1161,2393,574,
"Jacksonville, FL",2106,2568,1385,"1,197"
"Kansas City, MO-KS",1872,3504,1344,
"Knoxville, TN",1715,2691,1359,
"Lakeland-Winter Haven, FL",1904,1729,1937,
"Las Vegas-Paradise, NV",2377,2711,1502,
"Little Rock-North Little Rock-Conway, AR",3211,5265,2415,
"Los Angeles-Long Beach-Santa Ana, CA",1161,1494,971,256
"Louisville-Jefferson County, KY-IN",1124,1687,555,
"Madison, WI",697,985,500,
"McAllen-Edinburg-Mission, TX",1883,1837,1893,
"Memphis, TN-MS-AR",4397,6443,2171,
"Miami-Fort Lauderdale-Pompano Beach, FL",1684,2246,1592,
"Milwaukee-Waukesha-West Allis, WI",1295,2709,395,
"Minneapolis-St. Paul-Bloomington, MN-WI",961,2561,577,
"Modesto, CA",1272,1486,1131,
"Nashville-Davidson„Murfreesboro„Franklin, TN",2826,4357,1852,
"New Haven-Milford, CT",1256,5440,826,
"New Orleans-Metairie-Kenner, LA",1835,2428,1635,
"New York-Northern New Jersey-Long Island, NY-NJ-PA",641,636,644,"1,326"
"Ogden-Clearfield, UT",1250,3732,810,
"Oklahoma City, OK",1522,2298,980,
"Omaha-Council Bluffs, NE-IA",1348,1653,1030,
"Orlando-Kissimmee, FL",1981,3887,1742,
"Oxnard-Thousand Oaks-Ventura, CA",798,944,643,
"Palm Bay-Melbourne-Titusville, FL",1916,1557,1998,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1569,3228,1028,1260.48
"Phoenix-Mesa-Scottsdale, AZ",1276,1464,1063,177.38
"Pittsburgh, PA",980,3109,671,
"Portland-South Portland-Biddeford, ME",984,1598,903,
"Portland-Vancouver-Beaverton, OR-WA",875,1439,607,
"Poughkeepsie-Newburgh-Middletown, NY",794,3618,668,
"Providence-New Bedford-Fall River, RI-MA",1446,2143,1362,
"Provo-Orem, UT",550,989,402,
"Raleigh-Cary, NC",935,1362,553,
"Richmond, VA",1766,3160,1494,
"Riverside-San Bernardino-Ontario, CA",1113,1854,970,
"Rochester, NY",1289,3491,748,
"Sacramento„Arden-Arcade„Roseville, CA",1124,1734,855,
"Salt Lake City, UT",1714,3748,1325,
"San Antonio, TX",1979,2160,1610,785.48
"San Diego-Carlsbad-San Marcos, CA",1151,1194,1119,230.18
"San Francisco-Oakland-Fremont, CA",1354,2086,994,438.54
"San Jose-Sunnyvale-Santa Clara, CA",875,922,785,309.74
"Scranton„Wilkes-Barre, PA",606,1008,547,
"Seattle-Tacoma-Bellevue, WA",1237,1812,1019,1081.36
"Springfield, MA",2134,4742,1407,
"St. Louis, MO-IL",1186,3837,805,
"Stockton, CA",1968,2926,1246,
"Syracuse, NY",1141,3594,558,
"Tampa-St. Petersburg-Clearwater, FL",1967,2666,1734,
"Toledo, OH",2546,4335,952,
"Tucson, AZ",1970,2876,975,
"Tulsa, OK",1688,2593,1026,
"Virginia Beach-Norfolk-Newport News, VA-NC",2205,2311,2094,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1215,2104,1030,
"Wichita, KS",3070,4196,1353,
"Worcester, MA*",1275,2199,1007,
"Youngstown-Warren-Boardman, OH-PA",1622,4353,1226,
