City,Crime,City,Suburb,,,
"Akron, OH",1.861,4.398,0.81,,,
"Albany-Schenectady-Troy, NY",1.077,3.219,0.824,,,
"Albuquerque, NM",2.141,2.556,1.443,,,
"Allentown-Bethlehem-Easton, PA-NJ",0.855,2.527,0.586,,,
"Atlanta-Sandy Springs-Marietta, GA",1.461,2.92,1.309,,,
"Augusta-Richmond County, GA-SC",2.353,3.681,1.609,,,
"Austin-Round Rock, TX",1.66,2.512,0.95,,,
"Bakersfield, CA",1.231,1.4,1.128,,,
"Baltimore-Towson, MD",1.979,3.146,1.615,,,
"Baton Rouge, LA",2.226,4.193,1.437,,,
"Birmingham-Hoover, AL",2.127,3.603,1.743,,,
"Boise City-Nampa, ID",1.1,1.247,1.027,,,
"Boston-Cambridge-Quincy, MA-NH",1.15,2.166,0.961,,,
"Bradenton-Sarasota-Venice, FL",1.796,2.825,1.71,,,
"Bridgeport-Stamford-Norwalk, CT",1.163,2.465,0.631,,,
"Buffalo-Niagara Falls, NY",1.393,3.217,0.837,,,
"Cape Coral-Fort Myers, FL",1.203,1.143,1.225,,,
"Charleston-North Charleston-Summerville, SC",2.897,2.49,2.979,,,
"Charlotte-Gastonia-Concord, NC-SC",1.997,2.577,1.52,,,
"Chattanooga, TN-GA",1.972,2.99,1.469,,,
"Chicago-Naperville-Joliet, IL-IN-WI",0.555,1.135,0.269,,,
"Cincinnati-Middletown, OH-KY-IN",1.409,4.159,0.923,,,
"Cleveland-Elyria-Mentor, OH",1.528,4.989,0.637,,,
"Colorado Springs, CO",0.875,1.077,0.556,,,
"Columbia, SC",2.288,2.399,2.265,,,
"Columbus, OH",2.446,4.383,1.024,,,
"Dallas-Fort Worth-Arlington, TX",1.667,2.46,1.191,,,
"Dayton, OH",1.674,4.088,1.142,,,
"Denver-Aurora, CO",0.955,1.236,0.788,,,
"Des Moines-West Des Moines, IA",1.705,3.355,0.773,,,
"Detroit-Warren-Livonia, MI",1.913,3.777,1.358,,,
"El Paso, TX",1.959,1.917,2.156,,,
"Fresno, CA",1.551,2.141,0.938,,,
"Grand Rapids-Wyoming, MI",1.834,3.068,1.424,,,
"Greensboro-High Point, NC",1.25,1.469,1.036,,,
"Greenville-Mauldin-Easley, SC",2.165,2.798,2.099,,,
"Harrisburg-Carlisle, PA",1.231,4.325,0.934,,,
"Hartford-West Hartford-East Hartford, CT",1.182,3.015,0.926,,,
"Honolulu, HI",1.282,1.282,#VALUE!,,,
"Houston-Sugar Land-Baytown, TX",2.121,2.943,1.603,,,
"Indianapolis-Carmel, IN",1.673,3.058,0.426,,,
"Jackson, MS",1.161,2.393,0.574,,,
"Jacksonville, FL",2.106,2.568,1.385,,,
"Kansas City, MO-KS",1.872,3.504,1.344,,,
"Knoxville, TN",1.715,2.691,1.359,,,
"Lakeland-Winter Haven, FL",1.904,1.729,1.937,,,
"Las Vegas-Paradise, NV",2.377,2.711,1.502,,,
"Little Rock-North Little Rock-Conway, AR",3.211,5.265,2.415,,,
"Los Angeles-Long Beach-Santa Ana, CA",1.161,1.494,0.971,,,
"Louisville-Jefferson County, KY-IN",1.124,1.687,0.555,,,
"Madison, WI",0.697,0.985,0.5,,,
"McAllen-Edinburg-Mission, TX",1.883,1.837,1.893,,,
"Memphis, TN-MS-AR",4.397,6.443,2.171,,,
"Miami-Fort Lauderdale-Pompano Beach, FL",1.684,2.246,1.592,,,
"Milwaukee-Waukesha-West Allis, WI",1.295,2.709,0.395,,,
"Minneapolis-St. Paul-Bloomington, MN-WI",0.961,2.561,0.577,,,
"Modesto, CA",1.272,1.486,1.131,,,
"Nashville-Davidson—Murfreesboro—Franklin, TN",2.826,4.357,1.852,,,
"New Haven-Milford, CT",1.256,5.44,0.826,,,
"New Orleans-Metairie-Kenner, LA",1.835,2.428,1.635,,,
"New York-Northern New Jersey-Long Island, NY-NJ-PA",0.641,0.636,0.644,,,
