FIPS,NAME,UNEMPLOYMENT,ESTIMATE,PERCENT
1003,"Baldwin County, Alabama",5.2,24005,11.7
1015,"Calhoun County, Alabama",6.5,19057,17.1
1043,"Cullman County, Alabama",7.2,12133,14.9
1049,"DeKalb County, Alabama",4.1,14362,20.5
1051,"Elmore County, Alabama",6.3,10316,13.5
1055,"Etowah County, Alabama",6,17624,17.5
1069,"Houston County, Alabama",5.4,19878,19.4
1073,"Jefferson County, Alabama",6.6,98463,15.3
1077,"Lauderdale County, Alabama",5.2,13739,15.2
1081,"Lee County, Alabama",4.6,28139,18.3
1083,"Limestone County, Alabama",4.5,11511,12.8
1089,"Madison County, Alabama",4.8,47081,13.5
1095,"Marshall County, Alabama",5,19703,21
1097,"Mobile County, Alabama",4.9,79364,19.5
1101,"Montgomery County, Alabama",5.4,40760,18.8
1103,"Morgan County, Alabama",4.7,18457,15.8
1115,"St. Clair County, Alabama",-1,10352,12
1117,"Shelby County, Alabama",4.1,16406,7.9
1121,"Talladega County, Alabama",3.2,13864,18
1125,"Tuscaloosa County, Alabama",6.1,34384,17.6
1127,"Walker County, Alabama",8.5,13097,20.5
2020,"Anchorage Municipality, Alaska",5.8,21108,7.2
2090,"Fairbanks North Star Borough, Alaska",6.3,8144,8.5
2170,"Matanuska-Susitna Borough, Alaska",9,9641,9.5
4001,"Apache County, Arizona",10,23966,33.2
4003,"Cochise County, Arizona",6.8,25424,21.1
4005,"Coconino County, Arizona",9.2,23116,17.8
4013,"Maricopa County, Arizona",5,624923,15
4015,"Mohave County, Arizona",7.6,36665,18.3
4017,"Navajo County, Arizona",9.1,30379,28.2
4019,"Pima County, Arizona",7.3,180513,18.2
4021,"Pinal County, Arizona",6.5,60679,15.4
4025,"Yavapai County, Arizona",6,29418,13.3
4027,"Yuma County, Arizona",6,37850,19.3
5007,"Benton County, Arkansas",2.9,23131,9.1
5031,"Craighead County, Arkansas",4.6,16548,16.2
5045,"Faulkner County, Arkansas",2.9,18782,16
5051,"Garland County, Arkansas",6.9,17037,17.8
5069,"Jefferson County, Arkansas",12.2,15094,23.3
5085,"Lonoke County, Arkansas",5.7,8881,12.4
5119,"Pulaski County, Arkansas",5.1,66302,17.2
5125,"Saline County, Arkansas",4.5,10160,8.7
5131,"Sebastian County, Arkansas",5.9,21232,16.9
5143,"Washington County, Arkansas",6.5,34567,15.8
5145,"White County, Arkansas",6.9,11843,15.7
6001,"Alameda County, California",4.7,173386,10.7
6007,"Butte County, California",7.2,43428,19.5
6013,"Contra Costa County, California",5.2,97573,8.7
6017,"El Dorado County, California",3.9,16073,8.7
6019,"Fresno County, California",8.2,245131,25.5
6023,"Humboldt County, California",6.3,26632,20
6025,"Imperial County, California",13.5,40601,23.6
6029,"Kern County, California",9.4,190993,22.4
6031,"Kings County, California",6.7,23247,17.4
6033,"Lake County, California",7.2,13065,20.7
6037,"Los Angeles County, California",6,1629450,16.3
6039,"Madera County, California",8.6,30029,20.4
6041,"Marin County, California",4.3,19932,7.8
6045,"Mendocino County, California",6.3,16366,19
6047,"Merced County, California",12.2,53417,20.3
6053,"Monterey County, California",5.1,53898,12.9
6055,"Napa County, California",4.4,10958,7.9
