State,Abbreviation,ACT Score
Alabama,AL,19.2
Alaska,AK,19.8
Arizona,AZ,19.7
Arkansas,AR,19.4
California,CA,22.8
Colorado,CO,20.8
Connecticut,CT,25.2
Delaware,DE,24.1
Florida,FL,19.8
Georgia,GA,21.4
Hawaii,HI,19
Idaho,ID,22.3
Illinois,IL,21.4
Indiana,IN,22.6
Iowa,IA,21.9
Kansas,KS,21.7
Kentucky,KY,20
Louisiana,LA,19.5
Maine,ME,24.3
Maryland,MD,23.6
Massachusetts,MA,25.4
Michigan,MI,24.1
Minnesota,MN,21.5
Mississippi,MS,18.6
Missouri,MO,20.4
Montana,MT,20.3
Nebraska,NE,21.4
Nevada,NV,17.8
New Hampshire,NH,25.5
New Jersey,NJ,23.9
New Mexico,NM,19.7
New York,NY,24.2
North Carolina,NC,19.1
North Dakota,ND,20.3
Ohio,OH,22
Oklahoma,OK,19.4
Oregon,OR,21.8
Pennsylvania,PA,23.7
Rhode Island,RI,24
South Carolina,SC,18.7
South Dakota,SD,21.8
Tennessee,TN,19.8
Texas,TX,20.7
Utah,UT,20.3
Vermont,VT,23.6
Virginia,VA,23.8
Washington,WA,21.9
West Virginia,WV,20.4
Wisconsin,WI,20.5
Wyoming,WY,20.2
