,fips,NAME,unemployment,estimate,percent
0,01003,"Baldwin County, Alabama",5.2,24005,11.7
1,01015,"Calhoun County, Alabama",6.5,19057,17.1
2,01043,"Cullman County, Alabama",7.2,12133,14.9
3,01049,"DeKalb County, Alabama",4.1,14362,20.5
4,01051,"Elmore County, Alabama",6.3,10316,13.5
5,01055,"Etowah County, Alabama",6.0,17624,17.5
6,01069,"Houston County, Alabama",5.4,19878,19.4
7,01073,"Jefferson County, Alabama",6.6,98463,15.3
8,01077,"Lauderdale County, Alabama",5.2,13739,15.2
9,01081,"Lee County, Alabama",4.6,28139,18.3
10,01083,"Limestone County, Alabama",4.5,11511,12.8
11,01089,"Madison County, Alabama",4.8,47081,13.5
12,01095,"Marshall County, Alabama",5.0,19703,21
13,01097,"Mobile County, Alabama",4.9,79364,19.5
14,01101,"Montgomery County, Alabama",5.4,40760,18.8
15,01103,"Morgan County, Alabama",4.7,18457,15.8
16,01115,"St. Clair County, Alabama",-999999999.0,10352,12
17,01117,"Shelby County, Alabama",4.1,16406,7.9
18,01121,"Talladega County, Alabama",3.2,13864,18
19,01125,"Tuscaloosa County, Alabama",6.1,34384,17.6
20,01127,"Walker County, Alabama",8.5,13097,20.5
21,02020,"Anchorage Municipality, Alaska",5.8,21108,7.2
22,02090,"Fairbanks North Star Borough, Alaska",6.3,8144,8.5
23,02170,"Matanuska-Susitna Borough, Alaska",9.0,9641,9.5
24,04001,"Apache County, Arizona",10.0,23966,33.2
25,04003,"Cochise County, Arizona",6.8,25424,21.1
26,04005,"Coconino County, Arizona",9.2,23116,17.8
27,04013,"Maricopa County, Arizona",5.0,624923,15
28,04015,"Mohave County, Arizona",7.6,36665,18.3
29,04017,"Navajo County, Arizona",9.1,30379,28.2
30,04019,"Pima County, Arizona",7.3,180513,18.2
31,04021,"Pinal County, Arizona",6.5,60679,15.4
32,04025,"Yavapai County, Arizona",6.0,29418,13.3
33,04027,"Yuma County, Arizona",6.0,37850,19.3
34,05007,"Benton County, Arkansas",2.9,23131,9.1
35,05031,"Craighead County, Arkansas",4.6,16548,16.2
36,05045,"Faulkner County, Arkansas",2.9,18782,16
37,05051,"Garland County, Arkansas",6.9,17037,17.8
38,05069,"Jefferson County, Arkansas",12.2,15094,23.3
39,05085,"Lonoke County, Arkansas",5.7,8881,12.4
40,05119,"Pulaski County, Arkansas",5.1,66302,17.2
41,05125,"Saline County, Arkansas",4.5,10160,8.7
42,05131,"Sebastian County, Arkansas",5.9,21232,16.9
43,05143,"Washington County, Arkansas",6.5,34567,15.8
44,05145,"White County, Arkansas",6.9,11843,15.7
45,06001,"Alameda County, California",4.7,173386,10.7
46,06007,"Butte County, California",7.2,43428,19.5
47,06013,"Contra Costa County, California",5.2,97573,8.7
48,06017,"El Dorado County, California",3.9,16073,8.7
49,06019,"Fresno County, California",8.2,245131,25.5
50,06023,"Humboldt County, California",6.3,26632,20
51,06025,"Imperial County, California",13.5,40601,23.6
52,06029,"Kern County, California",9.4,190993,22.4
53,06031,"Kings County, California",6.7,23247,17.4
54,06033,"Lake County, California",7.2,13065,20.7
55,06037,"Los Angeles County, California",6.0,1629450,16.3
56,06039,"Madera County, California",8.6,30029,20.4
57,06041,"Marin County, California",4.3,19932,7.8
58,06045,"Mendocino County, California",6.3,16366,19
59,06047,"Merced County, California",12.2,53417,20.3
60,06053,"Monterey County, California",5.1,53898,12.9
61,06055,"Napa County, California",4.4,10958,7.9
62,06057,"Nevada County, California",3.5,10662,10.9
63,06059,"Orange County, California",4.2,348173,11.1
64,06061,"Placer County, California",4.0,27340,7.2
65,06065,"Riverside County, California",7.8,359774,15.3
66,06067,"Sacramento County, California",6.6,243760,16.3
67,06071,"San Bernardino County, California",8.2,369012,17.6
68,06073,"San Diego County, California",5.9,400028,12.4
69,06075,"San Francisco County, California",3.8,87690,10.2
70,06077,"San Joaquin County, California",6.4,105268,14.6
71,06079,"San Luis Obispo County, California",3.8,29345,11
72,06081,"San Mateo County, California",3.6,50438,6.6
73,06083,"Santa Barbara County, California",5.7,59468,13.9
74,06085,"Santa Clara County, California",4.0,175627,9.3
75,06087,"Santa Cruz County, California",7.3,35339,13.4
76,06089,"Shasta County, California",4.3,30359,17.2
77,06095,"Solano County, California",6.7,48701,11.4
78,06097,"Sonoma County, California",3.8,46604,9.4
79,06099,"Stanislaus County, California",7.9,77913,14.5
80,06101,"Sutter County, California",7.0,16390,17.1
81,06107,"Tulare County, California",10.6,112387,24.7
82,06111,"Ventura County, California",5.2,81792,9.8
83,06113,"Yolo County, California",6.9,39303,19
84,06115,"Yuba County, California",3.3,12288,16.6
85,08001,"Adams County, Colorado",3.9,57811,11.7
86,08005,"Arapahoe County, Colorado",3.9,56898,9
87,08013,"Boulder County, Colorado",4.1,33749,10.8
88,08014,"Broomfield County, Colorado",3.3,3518,5.3
89,08031,"Denver County, Colorado",3.2,95232,14
90,08035,"Douglas County, Colorado",2.6,11114,3.4
91,08041,"El Paso County, Colorado",5.9,76997,11.5
92,08059,"Jefferson County, Colorado",3.1,39397,7
93,08069,"Larimer County, Colorado",4.9,37023,11.2
94,08077,"Mesa County, Colorado",6.4,21922,15
95,08101,"Pueblo County, Colorado",8.0,32053,19.9
96,08123,"Weld County, Colorado",4.1,33377,11.5
97,09001,"Fairfield County, Connecticut",6.6,79966,8.6
98,09003,"Hartford County, Connecticut",6.1,95010,10.9
99,09005,"Litchfield County, Connecticut",5.7,12952,7.2
100,09007,"Middlesex County, Connecticut",5.1,12513,7.9
101,09009,"New Haven County, Connecticut",6.9,94687,11.4
102,09011,"New London County, Connecticut",4.7,23961,9.3
103,09013,"Tolland County, Connecticut",3.4,9786,7.2
104,09015,"Windham County, Connecticut",5.3,13297,11.9
105,10001,"Kent County, Delaware",4.5,23060,13.6
106,10003,"New Castle County, Delaware",5.9,61319,11.3
107,10005,"Sussex County, Delaware",4.4,25212,11.6
108,11001,"District of Columbia, District of Columbia",6.6,119778,18.5
109,12001,"Alachua County, Florida",4.7,55990,22.3
110,12005,"Bay County, Florida",5.6,26845,14.9
111,12009,"Brevard County, Florida",4.2,84028,14.7
112,12011,"Broward County, Florida",5.9,256027,13.5
113,12015,"Charlotte County, Florida",4.8,22087,12.6
114,12017,"Citrus County, Florida",5.2,23472,16.6
115,12019,"Clay County, Florida",6.0,19785,9.6
116,12021,"Collier County, Florida",3.7,41076,11.4
117,12023,"Columbia County, Florida",9.0,11449,17.8
118,12031,"Duval County, Florida",6.1,131327,14.5
119,12033,"Escambia County, Florida",5.5,45044,15.2
120,12035,"Flagler County, Florida",4.5,11997,11.2
121,12053,"Hernando County, Florida",7.6,27794,15.4
122,12055,"Highlands County, Florida",9.2,19035,19.1
123,12057,"Hillsborough County, Florida",5.1,203350,15
124,12061,"Indian River County, Florida",6.3,18518,12.3
125,12069,"Lake County, Florida",6.3,39212,11.8
126,12071,"Lee County, Florida",5.2,91333,12.8
127,12073,"Leon County, Florida",7.7,52124,19
128,12081,"Manatee County, Florida",5.0,47042,12.7
129,12083,"Marion County, Florida",8.3,58992,17.4
130,12085,"Martin County, Florida",6.3,17584,11.3
131,12086,"Miami-Dade County, Florida",5.9,487700,18.2
132,12087,"Monroe County, Florida",3.6,8801,11.5
133,12089,"Nassau County, Florida",3.3,8242,10.3
134,12091,"Okaloosa County, Florida",5.5,21032,10.7
135,12095,"Orange County, Florida",4.9,209800,16.3
136,12097,"Osceola County, Florida",5.5,49326,14.8
137,12099,"Palm Beach County, Florida",5.9,178918,12.6
138,12101,"Pasco County, Florida",5.3,66980,13.3
139,12103,"Pinellas County, Florida",5.4,125923,13.3
140,12105,"Polk County, Florida",5.3,106703,16.4
141,12107,"Putnam County, Florida",8.9,15220,21.5
142,12109,"St. Johns County, Florida",5.2,17838,7.7
143,12111,"St. Lucie County, Florida",4.9,51657,17
144,12113,"Santa Rosa County, Florida",5.2,17308,10.6
145,12115,"Sarasota County, Florida",4.6,43904,10.8
146,12117,"Seminole County, Florida",4.2,51750,11.4
147,12119,"Sumter County, Florida",-999999999.0,12115,10.5
148,12127,"Volusia County, Florida",4.6,73420,14.2
149,12131,"Walton County, Florida",4.5,8331,13.1
150,13013,"Barrow County, Georgia",2.9,9888,12.9
151,13015,"Bartow County, Georgia",3.2,15442,15.1
152,13021,"Bibb County, Georgia",7.1,38547,26.3
153,13031,"Bulloch County, Georgia",8.9,16650,24
154,13045,"Carroll County, Georgia",5.0,16713,14.9
155,13047,"Catoosa County, Georgia",-999999999.0,8505,12.9
156,13051,"Chatham County, Georgia",6.6,45636,16.6
157,13057,"Cherokee County, Georgia",4.0,17948,7.5
158,13059,"Clarke County, Georgia",6.3,31950,27.9
159,13063,"Clayton County, Georgia",6.5,57057,20.8
160,13067,"Cobb County, Georgia",4.7,73446,10
161,13073,"Columbia County, Georgia",2.7,10512,7.2
162,13077,"Coweta County, Georgia",4.5,13867,9.9
163,13089,"DeKalb County, Georgia",6.5,127476,17.5
164,13095,"Dougherty County, Georgia",13.2,26389,30.5
165,13097,"Douglas County, Georgia",4.6,18191,12.9
166,13113,"Fayette County, Georgia",5.3,6671,6
167,13115,"Floyd County, Georgia",5.7,14596,15.8
168,13117,"Forsyth County, Georgia",3.2,12468,5.7
169,13121,"Fulton County, Georgia",5.9,159400,16
170,13127,"Glynn County, Georgia",-999999999.0,15916,19.1
171,13135,"Gwinnett County, Georgia",4.2,102033,11.3
172,13139,"Hall County, Georgia",2.9,26561,13.7
173,13151,"Henry County, Georgia",6.2,21101,9.6
174,13153,"Houston County, Georgia",6.9,22347,14.9
175,13157,"Jackson County, Georgia",4.1,8097,12.7
176,13185,"Lowndes County, Georgia",4.7,23936,22.1
177,13215,"Muscogee County, Georgia",10.8,41006,21.5
178,13217,"Newton County, Georgia",5.7,18463,17.5
179,13223,"Paulding County, Georgia",3.4,13373,8.6
180,13245,"Richmond County, Georgia",11.2,48929,25.6
181,13247,"Rockdale County, Georgia",7.3,12943,14.7
182,13255,"Spalding County, Georgia",-999999999.0,14243,22.4
183,13285,"Troup County, Georgia",5.5,13731,20.3
184,13295,"Walker County, Georgia",7.9,12349,18.6
185,13297,"Walton County, Georgia",6.0,11385,12.8
186,13313,"Whitfield County, Georgia",6.3,16688,16.1
187,15001,"Hawaii County, Hawaii",5.5,29962,15.4
188,15003,"Honolulu County, Hawaii",3.9,81341,8.5
189,15007,"Kauai County, Hawaii",3.7,5716,8.1
190,15009,"Maui County, Hawaii",4.4,15578,9.5
191,16001,"Ada County, Idaho",3.1,46600,10.8
192,16005,"Bannock County, Idaho",4.4,13780,16.8
193,16019,"Bonneville County, Idaho",3.2,13072,11.7
194,16027,"Canyon County, Idaho",5.6,31525,15.1
195,16055,"Kootenai County, Idaho",5.2,22165,14.5
196,16083,"Twin Falls County, Idaho",3.1,11954,14.5
197,17001,"Adams County, Illinois",4.4,8223,12.8
198,17019,"Champaign County, Illinois",6.2,36364,18.9
199,17031,"Cook County, Illinois",7.1,770091,15
200,17037,"DeKalb County, Illinois",6.0,15566,15.8
201,17043,"DuPage County, Illinois",4.0,64330,7
202,17089,"Kane County, Illinois",5.5,55134,10.5
203,17091,"Kankakee County, Illinois",6.3,14958,14.2
204,17093,"Kendall County, Illinois",5.0,5778,4.6
205,17097,"Lake County, Illinois",5.5,59478,8.7
206,17099,"LaSalle County, Illinois",6.8,14193,13.3
207,17111,"McHenry County, Illinois",4.1,22253,7.3
208,17113,"McLean County, Illinois",2.8,20429,12.6
209,17115,"Macon County, Illinois",9.7,17760,17.3
210,17119,"Madison County, Illinois",5.7,34772,13.3
211,17143,"Peoria County, Illinois",8.9,27254,15.2
212,17161,"Rock Island County, Illinois",6.3,21769,15.6
213,17163,"St. Clair County, Illinois",6.1,39745,15.4
214,17167,"Sangamon County, Illinois",5.6,26767,13.8
215,17179,"Tazewell County, Illinois",5.4,11526,8.8
216,17183,"Vermilion County, Illinois",6.1,15183,20.2
217,17197,"Will County, Illinois",4.7,48627,7.2
218,17199,"Williamson County, Illinois",6.8,10423,15.9
219,17201,"Winnebago County, Illinois",9.8,43858,15.6
220,18003,"Allen County, Indiana",5.2,54642,15
221,18005,"Bartholomew County, Indiana",3.4,9336,11.7
222,18011,"Boone County, Indiana",-999999999.0,4481,7
223,18019,"Clark County, Indiana",4.5,11983,10.5
224,18035,"Delaware County, Indiana",5.7,23202,21.6
225,18039,"Elkhart County, Indiana",4.0,26390,13.2
226,18043,"Floyd County, Indiana",3.9,7759,10.3
227,18053,"Grant County, Indiana",6.1,12585,20.3
228,18057,"Hamilton County, Indiana",2.8,14927,4.8
229,18059,"Hancock County, Indiana",-999999999.0,5327,7.3
230,18063,"Hendricks County, Indiana",3.4,9008,5.8
231,18067,"Howard County, Indiana",3.7,12011,14.8
232,18081,"Johnson County, Indiana",3.2,11300,7.6
233,18085,"Kosciusko County, Indiana",4.2,7985,10.4
234,18089,"Lake County, Indiana",7.2,79529,16.6
235,18091,"LaPorte County, Indiana",6.2,16218,15.7
236,18095,"Madison County, Indiana",6.1,21548,17.5
237,18097,"Marion County, Indiana",6.3,173996,18.9
238,18105,"Monroe County, Indiana",5.9,30977,23.8
239,18109,"Morgan County, Indiana",3.6,7254,10.5
240,18127,"Porter County, Indiana",4.1,12749,7.8
241,18141,"St. Joseph County, Indiana",4.1,41889,16.2
242,18157,"Tippecanoe County, Indiana",3.7,30478,17.6
243,18163,"Vanderburgh County, Indiana",4.2,30462,17.4
244,18167,"Vigo County, Indiana",6.6,17567,17.8
245,18177,"Wayne County, Indiana",3.1,10859,17
246,19013,"Black Hawk County, Iowa",5.2,20556,16.1
247,19049,"Dallas County, Iowa",2.6,4118,4.9
248,19061,"Dubuque County, Iowa",3.6,9738,10.5
249,19103,"Johnson County, Iowa",3.1,23460,17
250,19113,"Linn County, Iowa",3.9,21613,10
251,19153,"Polk County, Iowa",3.3,50628,10.9
252,19155,"Pottawattamie County, Iowa",4.2,9395,10.3
253,19163,"Scott County, Iowa",4.0,22602,13.4
254,19169,"Story County, Iowa",2.6,16340,19.2
255,19193,"Woodbury County, Iowa",4.8,13318,13.3
256,20015,"Butler County, Kansas",4.2,5745,8.9
257,20045,"Douglas County, Kansas",3.9,17501,15.8
258,20091,"Johnson County, Kansas",2.9,32380,5.6
259,20103,"Leavenworth County, Kansas",5.6,6464,8.8
260,20161,"Riley County, Kansas",2.9,11709,18.2
261,20173,"Sedgwick County, Kansas",5.8,75334,14.9
262,20177,"Shawnee County, Kansas",4.3,18931,10.9
263,20209,"Wyandotte County, Kansas",6.9,31432,19.4
264,21015,"Boone County, Kentucky",4.1,9662,7.6
265,21029,"Bullitt County, Kentucky",4.1,8144,10.4
266,21037,"Campbell County, Kentucky",3.3,11120,12.5
267,21047,"Christian County, Kentucky",4.6,13938,20.8
268,21059,"Daviess County, Kentucky",3.9,15895,16.4
269,21067,"Fayette County, Kentucky",5.0,54406,17.9
270,21093,"Hardin County, Kentucky",4.5,14306,13.8
271,21111,"Jefferson County, Kentucky",5.6,111467,14.9
272,21117,"Kenton County, Kentucky",4.4,20493,12.6
