fips2010,fmr2,year
1001,788,2015
1001,788,2016
1001,822,2017
1001,829,2018
1001,825,2019
1003,762,2015
1003,873,2016
1003,977,2017
1003,879,2018
1003,888,2019
1005,670,2015
1005,636,2016
1005,671,2017
1005,657,2018
1005,666,2019
1007,773,2015
1007,840,2016
1007,866,2017
1007,882,2018
1007,873,2019
1009,773,2015
1009,840,2016
1009,866,2017
1009,882,2018
1009,873,2019
1011,599,2015
1011,569,2016
1011,621,2017
1011,606,2018
1011,628,2019
1013,599,2015
1013,569,2016
1013,621,2017
1013,606,2018
1013,628,2019
1015,675,2015
1015,637,2016
1015,630,2017
1015,679,2018
1015,676,2019
1017,696,2015
1017,667,2016
1017,751,2017
1017,676,2018
1017,691,2019
1019,599,2015
1019,569,2016
1019,621,2017
1019,606,2018
1019,628,2019
1021,599,2015
1021,569,2016
1021,621,2017
1021,633,2018
1021,628,2019
1023,708,2015
1023,661,2016
1023,685,2017
1023,677,2018
1023,663,2019
1025,599,2015
1025,569,2016
1025,621,2017
1025,606,2018
1025,628,2019
1027,599,2015
1027,569,2016
1027,621,2017
1027,606,2018
1027,628,2019
1029,695,2015
1029,633,2016
1029,662,2017
1029,633,2018
1029,628,2019
1031,616,2015
1031,584,2016
1031,661,2017
1031,619,2018
1031,680,2019
1033,609,2015
1033,619,2016
1033,673,2017
1033,669,2018
1033,675,2019
1035,599,2015
1035,569,2016
1035,621,2017
1035,606,2018
1035,628,2019
1037,599,2015
1037,579,2016
1037,683,2017
1037,630,2018
1037,676,2019
1039,599,2015
1039,569,2016
1039,621,2017
1039,606,2018
1039,628,2019
1041,599,2015
1041,569,2016
1041,621,2017
1041,606,2018
1041,628,2019
1043,611,2015
1043,604,2016
1043,652,2017
1043,619,2018
1043,662,2019
1045,600,2015
1045,580,2016
1045,635,2017
1045,614,2018
1045,629,2019
1047,599,2015
1047,569,2016
1047,621,2017
1047,606,2018
1047,628,2019
1049,703,2015
1049,595,2016
1049,797,2017
1049,717,2018
1049,646,2019
1051,788,2015
1051,788,2016
1051,822,2017
1051,829,2018
1051,825,2019
1053,599,2015
1053,569,2016
1053,621,2017
1053,606,2018
1053,628,2019
1055,622,2015
1055,636,2016
1055,716,2017
1055,661,2018
1055,662,2019
1057,599,2015
1057,569,2016
1057,621,2017
1057,606,2018
1057,628,2019
1059,599,2015
1059,569,2016
1059,621,2017
1059,606,2018
1059,628,2019
1061,635,2015
1061,647,2016
1061,656,2017
1061,695,2018
1061,682,2019
1063,757,2015
1063,569,2016
1063,621,2017
1063,606,2018
1063,628,2019
1065,757,2015
1065,804,2016
1065,782,2017
1065,805,2018
1065,847,2019
1067,599,2015
1067,580,2016
1067,621,2017
1067,636,2018
1067,628,2019
1069,635,2015
1069,647,2016
1069,656,2017
1069,695,2018
1069,682,2019
1071,599,2015
1071,571,2016
1071,644,2017
1071,625,2018
1071,681,2019
1073,773,2015
1073,840,2016
1073,866,2017
1073,882,2018
1073,873,2019
1075,599,2015
1075,569,2016
1075,621,2017
1075,606,2018
1075,628,2019
1077,609,2015
1077,619,2016
1077,673,2017
1077,669,2018
1077,675,2019
1079,655,2015
1079,632,2016
1079,640,2017
1079,669,2018
1079,681,2019
1081,813,2015
1081,748,2016
1081,798,2017
1081,827,2018
1081,814,2019
1083,711,2015
1083,727,2016
1083,746,2017
1083,717,2018
1083,809,2019
1085,788,2015
1085,788,2016
1085,822,2017
1085,829,2018
1085,825,2019
1087,599,2015
1087,569,2016
1087,621,2017
1087,606,2018
1087,628,2019
1089,711,2015
1089,727,2016
1089,746,2017
1089,717,2018
1089,809,2019
1091,599,2015
1091,569,2016
1091,621,2017
1091,606,2018
1091,628,2019
1093,599,2015
1093,569,2016
1093,621,2017
1093,606,2018
1093,628,2019
1095,599,2015
1095,579,2016
1095,621,2017
1095,623,2018
1095,643,2019
1097,773,2015
1097,788,2016
1097,892,2017
1097,840,2018
1097,848,2019
1099,599,2015
1099,569,2016
1099,621,2017
1099,606,2018
1099,628,2019
1101,788,2015
1101,788,2016
1101,822,2017
1101,829,2018
1101,825,2019
1103,655,2015
1103,632,2016
1103,640,2017
1103,669,2018
1103,681,2019
1105,599,2015
1105,569,2016
1105,621,2017
1105,606,2018
1105,628,2019
1107,599,2015
1107,569,2016
1107,621,2017
1107,606,2018
1107,628,2019
1109,605,2015
1109,584,2016
1109,654,2017
1109,606,2018
1109,628,2019
1111,619,2015
1111,569,2016
1111,662,2017
1111,621,2018
1111,628,2019
1113,745,2015
1113,777,2016
1113,777,2017
1113,823,2018
1113,862,2019
1115,773,2015
1115,840,2016
1115,866,2017
1115,882,2018
1115,873,2019
1117,773,2015
1117,840,2016
1117,866,2017
1117,882,2018
1117,873,2019
1119,607,2015
1119,686,2016
1119,736,2017
1119,720,2018
1119,742,2019
1121,603,2015
1121,569,2016
1121,675,2017
1121,630,2018
1121,672,2019
1123,599,2015
1123,569,2016
1123,621,2017
1123,606,2018
1123,628,2019
1125,757,2015
1125,804,2016
1125,782,2017
1125,805,2018
1125,847,2019
1127,608,2015
1127,625,2016
1127,641,2017
1127,655,2018
1127,664,2019
1129,599,2015
1129,635,2016
1129,621,2017
1129,624,2018
1129,633,2019
1131,599,2015
1131,569,2016
1131,621,2017
1131,606,2018
1131,628,2019
1133,599,2015
1133,569,2016
1133,621,2017
1133,606,2018
1133,628,2019
2013,834,2015
2013,916,2016
2013,1077,2017
2013,1051,2018
2013,1118,2019
2016,1472,2015
2016,1503,2016
2016,1691,2017
2016,1628,2018
2016,1657,2019
2020,1199,2015
2020,1292,2016
2020,1293,2017
2020,1337,2018
2020,1313,2019
2050,1289,2015
2050,1369,2016
2050,1464,2017
2050,1481,2018
2050,1563,2019
2060,1083,2015
2060,1194,2016
2060,1244,2017
2060,1248,2018
2060,1238,2019
2068,1346,2015
2068,1090,2016
2068,1579,2017
2068,1458,2018
2068,1494,2019
2070,1056,2015
2070,1092,2016
2070,1192,2017
2070,1201,2018
2070,1312,2019
2090,1377,2015
2090,1230,2016
2090,1267,2017
2090,1368,2018
2090,1356,2019
2100,915,2015
2100,895,2016
2100,1007,2017
2100,985,2018
2100,1012,2019
2105,763,2015
2105,786,2016
2105,861,2017
2105,839,2018
2105,866,2019
2110,1262,2015
2110,1313,2016
2110,1466,2017
2110,1426,2018
2110,1457,2019
2122,882,2015
2122,996,2016
2122,1113,2017
2122,1082,2018
2122,1139,2019
2130,1097,2015
2130,1193,2016
2130,1317,2017
2130,1255,2018
2130,1330,2019
2150,994,2015
2150,958,2016
2150,1096,2017
2150,1061,2018
2150,1222,2019
2158,923,2018
2158,931,2019
2164,739,2015
2164,846,2016
2164,910,2017
2164,881,2018
2164,892,2019
2170,1007,2015
2170,1012,2016
2170,1041,2017
2170,1111,2018
2170,1078,2019
2180,1357,2015
2180,1376,2016
2180,1582,2017
2180,1521,2018
2180,1599,2019
2185,1097,2015
2185,885,2016
2185,1231,2017
2185,1180,2018
2185,1328,2019
2188,1261,2015
2188,1166,2016
2188,1262,2017
2188,1276,2018
2188,1326,2019
2195,967,2015
2195,1028,2016
2195,1060,2017
2195,1085,2018
2195,1108,2019
2198,904,2015
2198,931,2016
2198,1062,2017
2198,1032,2018
2198,1071,2019
2220,1158,2015
2220,1203,2016
2220,1278,2017
2220,1261,2018
2220,1253,2019
2230,1194,2015
2230,1250,2016
2230,1414,2017
2230,1351,2018
2230,1357,2019
2240,976,2015
2240,1171,2016
2240,1223,2017
2240,1220,2018
2240,1234,2019
2261,1019,2015
2261,1139,2016
2261,1139,2017
2261,1194,2018
2261,1222,2019
2270,869,2015
2270,883,2016
2270,971,2017
2275,830,2015
2275,856,2016
2275,1010,2017
2275,962,2018
2275,989,2019
2282,870,2015
2282,996,2016
2282,1182,2017
2282,1118,2018
2282,1175,2019
2290,734,2015
2290,776,2016
2290,789,2017
2290,789,2018
2290,780,2019
4001,643,2015
4001,865,2016
4001,681,2017
4001,697,2018
4001,722,2019
4003,751,2015
4003,802,2016
4003,747,2017
4003,779,2018
4003,823,2019
4005,1033,2015
4005,1135,2016
4005,1037,2017
4005,1129,2018
4005,1237,2019
4007,838,2015
4007,823,2016
4007,801,2017
4007,861,2018
4007,889,2019
4009,763,2015
4009,757,2016
4009,737,2017
4009,785,2018
4009,840,2019
4011,643,2015
4011,674,2016
4011,681,2017
4011,700,2018
4011,716,2019
4012,752,2015
4012,710,2016
4012,719,2017
4012,760,2018
4012,823,2019
4013,908,2015
4013,914,2016
4013,944,2017
4013,1013,2018
4013,1073,2019
4015,752,2015
4015,754,2016
4015,762,2017
4015,797,2018
4015,776,2019
4017,727,2015
4017,763,2016
4017,748,2017
4017,722,2018
4017,796,2019
4019,822,2015
4019,862,2016
4019,867,2017
4019,854,2018
4019,903,2019
4021,908,2015
4021,914,2016
4021,944,2017
4021,1013,2018
4021,1073,2019
4023,763,2015
4023,699,2016
4023,681,2017
4023,711,2018
4023,749,2019
4025,796,2015
4025,838,2016
4025,901,2017
4025,891,2018
4025,958,2019
4027,854,2015
4027,822,2016
4027,870,2017
4027,800,2018
4027,798,2019
5001,592,2015
5001,622,2016
5001,611,2017
5001,634,2018
5001,650,2019
5003,584,2015
5003,617,2016
5003,611,2017
5003,633,2018
5003,650,2019
5005,608,2015
5005,643,2016
5005,659,2017
5005,686,2018
5005,715,2019
5007,719,2015
5007,709,2016
5007,748,2017
5007,723,2018
5007,758,2019
5009,597,2015
5009,619,2016
5009,623,2017
5009,633,2018
5009,651,2019
5011,584,2015
5011,649,2016
5011,688,2017
5011,659,2018
5011,662,2019
5013,624,2015
5013,623,2016
5013,622,2017
5013,646,2018
5013,675,2019
5015,607,2015
5015,620,2016
5015,642,2017
5015,655,2018
5015,660,2019
5017,584,2015
5017,617,2016
5017,611,2017
5017,633,2018
5017,650,2019
5019,584,2015
5019,617,2016
5019,611,2017
5019,633,2018
5019,651,2019
5021,584,2015
5021,617,2016
5021,611,2017
5021,633,2018
5021,650,2019
5023,609,2015
5023,617,2016
5023,660,2017
5023,673,2018
5023,700,2019
5025,641,2015
5025,651,2016
5025,659,2017
5025,691,2018
5025,716,2019
5027,584,2015
5027,617,2016
5027,611,2017
5027,633,2018
5027,650,2019
5029,632,2015
5029,719,2016
5029,688,2017
5029,708,2018
5029,675,2019
5031,626,2015
5031,647,2016
5031,735,2017
5031,743,2018
5031,756,2019
5033,638,2015
5033,658,2016
5033,679,2017
5033,697,2018
5033,700,2019
5035,832,2015
5035,827,2016
5035,835,2017
5035,833,2018
5035,875,2019
5037,636,2015
5037,660,2016
5037,670,2017
5037,696,2018
5037,710,2019
5039,584,2015
5039,617,2016
5039,611,2017
5039,633,2018
5039,650,2019
5041,584,2015
5041,617,2016
5041,611,2017
5041,633,2018
5041,650,2019
5043,584,2015
5043,617,2016
5043,618,2017
5043,640,2018
5043,650,2019
5045,744,2015
5045,768,2016
5045,814,2017
5045,811,2018
5045,831,2019
5047,623,2015
5047,627,2016
5047,611,2017
5047,642,2018
5047,652,2019
5049,584,2015
5049,617,2016
5049,611,2017
5049,633,2018
5049,650,2019
5051,795,2015
5051,740,2016
5051,765,2017
5051,771,2018
5051,776,2019
5053,584,2015
5053,617,2016
5053,622,2017
5053,650,2018
5053,697,2019
5055,627,2015
5055,650,2016
5055,658,2017
5055,673,2018
5055,697,2019
5057,584,2015
5057,620,2016
5057,613,2017
5057,641,2018
5057,652,2019
5059,605,2015
5059,620,2016
5059,649,2017
5059,653,2018
5059,662,2019
5061,584,2015
5061,617,2016
5061,611,2017
5061,633,2018
5061,650,2019
5063,590,2015
5063,623,2016
5063,611,2017
5063,633,2018
5063,650,2019
5065,584,2015
5065,617,2016
5065,611,2017
5065,633,2018
5065,650,2019
5067,584,2015
5067,617,2016
5067,611,2017
5067,633,2018
5067,650,2019
5069,641,2015
5069,651,2016
5069,659,2017
5069,691,2018
5069,716,2019
5071,601,2015
5071,617,2016
5071,638,2017
5071,651,2018
5071,671,2019
5073,584,2015
5073,617,2016
5073,611,2017
5073,633,2018
5073,650,2019
5075,584,2015
5075,617,2016
5075,611,2017
5075,633,2018
5075,650,2019
5077,605,2015
5077,617,2016
5077,611,2017
5077,633,2018
5077,650,2019
5079,641,2015
5079,651,2016
5079,659,2017
5079,691,2018
5079,716,2019
5081,584,2015
5081,617,2016
5081,611,2017
5081,633,2018
5081,650,2019
5083,584,2015
5083,617,2016
5083,611,2017
5083,633,2018
5083,650,2019
5085,744,2015
5085,768,2016
5085,814,2017
5085,811,2018
5085,831,2019
5087,719,2015
5087,709,2016
5087,748,2017
5087,723,2018
5087,758,2019
5089,584,2015
5089,617,2016
5089,611,2017
5089,633,2018
5089,650,2019
5091,764,2015
5091,712,2016
5091,720,2017
5091,795,2018
5091,798,2019
5093,605,2015
5093,640,2016
5093,625,2017
5093,651,2018
5093,687,2019
5095,584,2015
5095,617,2016
5095,611,2017
5095,633,2018
5095,650,2019
5097,584,2015
5097,617,2016
5097,611,2017
5097,633,2018
5097,650,2019
5099,584,2015
5099,617,2016
5099,615,2017
5099,643,2018
5099,749,2019
5101,584,2015
5101,617,2016
5101,611,2017
5101,633,2018
5101,650,2019
5103,584,2015
5103,617,2016
5103,611,2017
5103,633,2018
5103,650,2019
5105,744,2015
5105,768,2016
5105,814,2017
5105,811,2018
5105,831,2019
5107,584,2015
5107,617,2016
5107,611,2017
5107,633,2018
5107,650,2019
5109,584,2015
5109,617,2016
5109,611,2017
5109,633,2018
5109,650,2019
5111,584,2015
5111,617,2016
5111,632,2017
5111,633,2018
5111,650,2019
5113,584,2015
5113,617,2016
5113,611,2017
5113,633,2018
5113,650,2019
5115,614,2015
5115,644,2016
5115,645,2017
5115,654,2018
5115,698,2019
5117,584,2015
5117,617,2016
5117,611,2017
5117,633,2018
5117,650,2019
5119,744,2015
5119,768,2016
5119,814,2017
5119,811,2018
5119,831,2019
5121,584,2015
5121,617,2016
5121,611,2017
5121,633,2018
5121,650,2019
5123,584,2015
5123,617,2016
5123,611,2017
5123,633,2018
5123,650,2019
5125,744,2015
5125,768,2016
5125,814,2017
5125,811,2018
5125,831,2019
5127,584,2015
5127,617,2016
5127,611,2017
5127,633,2018
5127,650,2019
5129,584,2015
5129,617,2016
5129,611,2017
5129,633,2018
5129,650,2019
5131,638,2015
5131,658,2016
5131,679,2017
5131,697,2018
5131,700,2019
5133,584,2015
5133,617,2016
5133,611,2017
5133,633,2018
5133,650,2019
5135,584,2015
5135,617,2016
5135,611,2017
5135,633,2018
5135,650,2019
5137,584,2015
5137,617,2016
5137,618,2017
5137,633,2018
5137,650,2019
5139,661,2015
5139,644,2016
5139,670,2017
5139,634,2018
5139,650,2019
5141,584,2015
5141,617,2016
5141,611,2017
5141,633,2018
5141,650,2019
5143,719,2015
5143,709,2016
5143,748,2017
5143,723,2018
5143,758,2019
5145,617,2015
5145,667,2016
5145,622,2017
5145,657,2018
5145,689,2019
5147,584,2015
5147,617,2016
5147,611,2017
5147,633,2018
5147,650,2019
5149,584,2015
5149,617,2016
5149,611,2017
5149,633,2018
5149,650,2019
6001,1585,2015
6001,2103,2016
6001,2173,2017
6001,2329,2018
6001,2109,2019
6003,818,2015
6003,882,2016
6003,846,2017
6003,940,2018
6003,965,2019
6005,986,2015
6005,1053,2016
6005,1012,2017
6005,1055,2018
6005,1084,2019
6007,870,2015
6007,907,2016
6007,923,2017
6007,992,2018
6007,1144,2019
6009,882,2015
6009,925,2016
6009,867,2017
6009,902,2018
6009,930,2019
6011,775,2015
6011,850,2016
6011,822,2017
6011,856,2018
6011,893,2019
6013,1585,2015
6013,2103,2016
6013,2173,2017
6013,2329,2018
6013,2109,2019
6015,835,2015
6015,922,2016
6015,890,2017
6015,893,2018
6015,945,2019
6017,1012,2015
6017,1026,2016
6017,1036,2017
6017,1086,2018
6017,1220,2019
6019,853,2015
6019,862,2016
6019,887,2017
6019,958,2018
6019,956,2019
6021,777,2015
6021,823,2016
6021,775,2017
6021,813,2018
6021,836,2019
6023,933,2015
6023,999,2016
6023,1026,2017
6023,956,2018
6023,998,2019
6025,748,2015
6025,836,2016
6025,822,2017
6025,901,2018
6025,953,2019
6027,901,2015
6027,938,2016
6027,878,2017
6027,917,2018
6027,929,2019
6029,832,2015
6029,826,2016
6029,844,2017
6029,904,2018
6029,926,2019
6031,807,2015
6031,818,2016
6031,803,2017
6031,929,2018
6031,987,2019
6033,853,2015
6033,972,2016
6033,915,2017
6033,914,2018
6033,960,2019
6035,924,2015
6035,968,2016
6035,917,2017
6035,868,2018
6035,848,2019
6037,1424,2015
6037,1490,2016
6037,1545,2017
6037,1663,2018
6037,1791,2019
6039,881,2015
6039,942,2016
6039,893,2017
6039,962,2018
6039,1020,2019
6041,2062,2015
6041,2289,2016
6041,3018,2017
6041,3121,2018
6041,2809,2019
6043,840,2015
6043,943,2016
6043,864,2017
6043,912,2018
6043,973,2019
6045,1147,2015
6045,1056,2016
6045,1031,2017
6045,1033,2018
6045,1078,2019
6047,759,2015
6047,784,2016
6047,776,2017
6047,790,2018
6047,839,2019
6049,643,2015
6049,658,2016
6049,681,2017
6049,697,2018
6049,700,2019
6051,1141,2015
6051,1262,2016
6051,1190,2017
6051,1229,2018
6051,1250,2019
6053,1244,2015
6053,1399,2016
6053,1417,2017
6053,1433,2018
6053,1540,2019
6055,1513,2015
6055,1500,2016
6055,1598,2017
6055,1575,2018
6055,1705,2019
6057,1355,2015
6057,1216,2016
6057,1309,2017
6057,1186,2018
6057,1211,2019
6059,1608,2015
6059,1672,2016
6059,1813,2017
6059,1876,2018
6059,2037,2019
6061,1012,2015
6061,1026,2016
6061,1036,2017
6061,1086,2018
6061,1220,2019
6063,861,2015
6063,870,2016
6063,831,2017
6063,862,2018
6063,899,2019
6065,1153,2015
6065,1187,2016
6065,1197,2017
6065,1156,2018
6065,1232,2019
6067,1012,2015
6067,1026,2016
6067,1036,2017
6067,1086,2018
6067,1220,2019
6069,1279,2015
6069,1353,2016
6069,1490,2017
6069,1699,2018
6069,1750,2019
6071,1153,2015
6071,1187,2016
6071,1197,2017
6071,1156,2018
6071,1232,2019
6073,1390,2015
6073,1499,2016
6073,1741,2017
6073,1816,2018
6073,1938,2019
6075,2062,2015
6075,2289,2016
6075,3018,2017
6075,3121,2018
6075,2809,2019
6077,946,2015
6077,967,2016
6077,967,2017
6077,990,2018
6077,1092,2019
6079,1309,2015
6079,1310,2016
6079,1309,2017
6079,1427,2018
6079,1542,2019
6081,2062,2015
6081,2289,2016
6081,3018,2017
6081,3121,2018
6081,2809,2019
6083,1460,2015
6083,1451,2016
6083,1555,2017
6083,1917,2018
6083,1951,2019
6085,1809,2015
6085,1994,2016
6085,2220,2017
6085,2522,2018
6085,2712,2019
6087,1756,2015
6087,1604,2016
6087,1828,2017
6087,1965,2018
6087,2439,2019
6089,907,2015
6089,871,2016
6089,892,2017
6089,915,2018
6089,980,2019
6091,1040,2015
6091,1199,2016
6091,1151,2017
6091,1191,2018
6091,1294,2019
6093,794,2015
6093,849,2016
6093,814,2017
6093,821,2018
6093,840,2019
6095,1207,2015
6095,1284,2016
6095,1294,2017
6095,1341,2018
6095,1443,2019
6097,1370,2015
6097,1414,2016
6097,1572,2017
6097,1843,2018
6097,1887,2019
6099,923,2015
6099,936,2016
6099,938,2017
6099,1035,2018
6099,1016,2019
6101,850,2015
6101,861,2016
6101,886,2017
6101,887,2018
6101,878,2019
6103,785,2015
6103,838,2016
6103,823,2017
6103,820,2018
6103,837,2019
6105,741,2015
6105,847,2016
6105,813,2017
6105,847,2018
6105,845,2019
6107,771,2015
6107,758,2016
6107,873,2017
6107,842,2018
6107,925,2019
6109,952,2015
6109,1000,2016
6109,969,2017
6109,957,2018
6109,992,2019
6111,1555,2015
6111,1602,2016
6111,1762,2017
6111,1739,2018
6111,1795,2019
6113,1105,2015
6113,1164,2016
6113,1175,2017
6113,1203,2018
6113,1342,2019
6115,850,2015
6115,861,2016
6115,886,2017
6115,887,2018
6115,878,2019
8001,1156,2015
8001,1227,2016
8001,1305,2017
8001,1418,2018
8001,1508,2019
8003,654,2015
8003,658,2016
8003,715,2017
8003,756,2018
8003,791,2019
8005,1156,2015
8005,1227,2016
8005,1305,2017
8005,1418,2018
8005,1508,2019
8007,807,2015
8007,819,2016
8007,808,2017
8007,913,2018
8007,954,2019
8009,643,2015
8009,658,2016
8009,681,2017
8009,697,2018
8009,700,2019
8011,643,2015
8011,679,2016
8011,686,2017
8011,740,2018
8011,752,2019
8013,1232,2015
8013,1381,2016
8013,1240,2017
8013,1461,2018
8013,1516,2019
8014,1156,2015
8014,1227,2016
8014,1305,2017
8014,1418,2018
8014,1508,2019
8015,778,2015
8015,843,2016
8015,764,2017
8015,862,2018
8015,870,2019
8017,643,2015
8017,658,2016
8017,681,2017
8017,698,2018
8017,700,2019
8019,1156,2015
8019,1227,2016
8019,1305,2017
8019,1418,2018
8019,1508,2019
8021,643,2015
8021,658,2016
8021,681,2017
8021,697,2018
8021,700,2019
8023,643,2015
8023,750,2016
8023,681,2017
8023,743,2018
8023,715,2019
8025,643,2015
8025,658,2016
8025,681,2017
8025,722,2018
8025,758,2019
8027,643,2015
8027,659,2016
8027,681,2017
8027,712,2018
8027,744,2019
8029,783,2015
8029,824,2016
8029,835,2017
8029,911,2018
8029,933,2019
8031,1156,2015
8031,1227,2016
8031,1305,2017
8031,1418,2018
8031,1508,2019
8033,643,2015
8033,658,2016
8033,681,2017
8033,697,2018
8033,700,2019
8035,1156,2015
8035,1227,2016
8035,1305,2017
8035,1418,2018
8035,1508,2019
8037,1198,2015
8037,1208,2016
8037,1256,2017
8037,1456,2018
8037,1432,2019
8039,1156,2015
8039,1227,2016
8039,1305,2017
8039,1418,2018
8039,1508,2019
8041,856,2015
8041,891,2016
8041,950,2017
8041,1020,2018
8041,1064,2019
8043,695,2015
8043,724,2016
8043,709,2017
8043,776,2018
8043,811,2019
8045,1061,2015
8045,1076,2016
8045,1019,2017
8045,1112,2018
8045,1161,2019
8047,1156,2015
8047,1227,2016
8047,1305,2017
8047,1418,2018
8047,1508,2019
8049,862,2015
8049,948,2016
8049,943,2017
8049,1032,2018
8049,1060,2019
8051,883,2015
8051,844,2016
8051,800,2017
8051,901,2018
8051,913,2019
8053,853,2015
8053,733,2016
8053,754,2017
8053,819,2018
8053,841,2019
8055,652,2015
8055,677,2016
8055,681,2017
8055,742,2018
8055,762,2019
8057,734,2015
8057,808,2016
8057,737,2017
8057,858,2018
8057,876,2019
8059,1156,2015
8059,1227,2016
8059,1305,2017
8059,1418,2018
8059,1508,2019
8061,672,2015
8061,704,2016
8061,775,2017
8061,817,2018
8061,898,2019
8063,643,2015
8063,658,2016
8063,681,2017
8063,697,2018
8063,742,2019
8065,974,2015
8065,914,2016
8065,869,2017
8065,916,2018
8065,874,2019
8067,921,2015
8067,997,2016
8067,967,2017
8067,1043,2018
8067,1034,2019
8069,893,2015
8069,975,2016
8069,996,2017
8069,1106,2018
8069,1253,2019
8071,703,2015
8071,760,2016
8071,793,2017
8071,845,2018
8071,845,2019
8073,643,2015
8073,678,2016
8073,681,2017
8073,749,2018
8073,787,2019
8075,662,2015
8075,706,2016
8075,702,2017
8075,770,2018
8075,791,2019
8077,779,2015
8077,797,2016
8077,799,2017
8077,844,2018
8077,842,2019
8079,643,2015
8079,658,2016
8079,681,2017
8079,886,2018
8079,898,2019
8081,743,2015
8081,765,2016
8081,727,2017
8081,809,2018
8081,810,2019
8083,643,2015
8083,658,2016
8083,681,2017
8083,726,2018
8083,785,2019
8085,776,2015
8085,822,2016
8085,796,2017
8085,880,2018
8085,881,2019
8087,643,2015
8087,697,2016
8087,681,2017
8087,763,2018
8087,800,2019
8089,643,2015
8089,731,2016
8089,707,2017
8089,786,2018
8089,795,2019
8091,999,2015
8091,1055,2016
8091,1076,2017
8091,1143,2018
8091,1194,2019
8093,1156,2015
8093,1227,2016
8093,1305,2017
8093,1418,2018
8093,1508,2019
8095,643,2015
8095,672,2016
8095,681,2017
8095,721,2018
8095,738,2019
8097,1469,2015
8097,1662,2016
8097,1599,2017
8097,1737,2018
8097,1725,2019
8099,643,2015
8099,658,2016
8099,681,2017
8099,697,2018
8099,700,2019
8101,733,2015
8101,782,2016
8101,802,2017
8101,770,2018
8101,875,2019
8103,694,2015
8103,720,2016
8103,736,2017
8103,806,2018
8103,847,2019
8105,643,2015
8105,658,2016
8105,681,2017
8105,697,2018
8105,700,2019
8107,1097,2015
8107,1114,2016
8107,1135,2017
8107,1236,2018
8107,1288,2019
8109,643,2015
8109,668,2016
8109,681,2017
8109,697,2018
8109,700,2019
8111,1027,2015
8111,1077,2016
8111,1054,2017
8111,1238,2018
8111,1115,2019
8113,1284,2015
8113,1380,2016
8113,1302,2017
8113,1456,2018
8113,1461,2019
8115,643,2015
8115,658,2016
8115,681,2017
8115,697,2018
8115,700,2019
8117,1261,2015
8117,1320,2016
8117,1277,2017
8117,1419,2018
8117,1464,2019
8119,899,2015
8119,919,2016
8119,1003,2017
8119,1044,2018
8119,1068,2019
8121,643,2015
8121,658,2016
8121,681,2017
8121,697,2018
8121,716,2019
8123,786,2015
8123,812,2016
8123,897,2017
8123,937,2018
8123,992,2019
8125,643,2015
8125,658,2016
8125,681,2017
8125,697,2018
8125,704,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1583,2015
9001,1775,2016
9001,1377,2017
9001,1609,2018
9001,1583,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1283,2015
9001,1207,2016
9001,1243,2017
9001,1272,2018
9001,1293,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
9001,1943,2015
9001,1932,2016
9001,1958,2017
9001,1986,2018
9001,1885,2019
