,countyname,state,fips,msa,msaname,cbsa,cbsaname,fipst
0,AUTAUGA,AL,01001,5240.0,"MONTGOMERY, AL",33860.0,"Montgomery, AL",1
1,BALDWIN,AL,01003,5160.0,"MOBILE, AL",,,1
2,BARBOUR,AL,01005,1.0,ALABAMA,,,1
3,BIBB,AL,01007,1.0,ALABAMA,13820.0,"Birmingham-Hoover, AL",1
4,BLOUNT,AL,01009,1000.0,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",1
5,BULLOCK,AL,01011,1.0,ALABAMA,,,1
6,BUTLER,AL,01013,1.0,ALABAMA,,,1
7,CALHOUN,AL,01015,450.0,"ANNISTON,AL",11500.0,"Anniston-Oxford, AL",1
8,CHAMBERS,AL,01017,1.0,ALABAMA,,,1
9,CHEROKEE,AL,01019,1.0,ALABAMA,,,1
10,CHILTON,AL,01021,1.0,ALABAMA,13820.0,"Birmingham-Hoover, AL",1
11,CHOCTAW,AL,01023,1.0,ALABAMA,,,1
12,CLARKE,AL,01025,1.0,ALABAMA,,,1
13,CLAY,AL,01027,1.0,ALABAMA,,,1
14,CLEBURNE,AL,01029,1.0,ALABAMA,,,1
15,COFFEE,AL,01031,1.0,ALABAMA,,,1
16,COLBERT,AL,01033,2650.0,"FLORENCE, AL",22520.0,"Florence-Muscle Shoals, AL",1
17,CONECUH,AL,01035,1.0,ALABAMA,,,1
18,COOSA,AL,01037,1.0,ALABAMA,,,1
19,COVINGTON,AL,01039,1.0,ALABAMA,,,1
20,CRENSHAW,AL,01041,1.0,ALABAMA,,,1
21,CULLMAN,AL,01043,1.0,ALABAMA,,,1
22,DALE,AL,01045,2180.0,"DOTHAN, AL",,,1
23,DALLAS,AL,01047,1.0,ALABAMA,,,1
24,DE KALB,AL,01049,1.0,ALABAMA,,,1
25,ELMORE,AL,01051,5240.0,"MONTGOMERY, AL",33860.0,"Montgomery, AL",1
26,ESCAMBIA,AL,01053,1.0,ALABAMA,,,1
27,ETOWAH,AL,01055,2880.0,"GADSDEN, AL",23460.0,"Gadsden, AL",1
28,FAYETTE,AL,01057,1.0,ALABAMA,,,1
29,FRANKLIN,AL,01059,1.0,ALABAMA,,,1
30,GENEVA,AL,01061,1.0,ALABAMA,20020.0,"Dothan, AL",1
31,GREENE,AL,01063,1.0,ALABAMA,46220.0,"Tuscaloosa, AL",1
32,HALE,AL,01065,1.0,ALABAMA,46220.0,"Tuscaloosa, AL",1
33,HENRY,AL,01067,1.0,ALABAMA,20020.0,"Dothan, AL",1
34,HOUSTON,AL,01069,2180.0,"DOTHAN, AL",20020.0,"Dothan, AL",1
35,JACKSON,AL,01071,1.0,ALABAMA,,,1
36,JEFFERSON,AL,01073,1000.0,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",1
37,LAMAR,AL,01075,1.0,ALABAMA,,,1
38,LAUDERDALE,AL,01077,2650.0,"FLORENCE, AL",22520.0,"Florence-Muscle Shoals, AL",1
39,LAWRENCE,AL,01079,2030.0,"DECATUR, AL",19460.0,"Decatur, AL",1
40,LEE,AL,01081,580.0,"AUBURN-OPELIKA, AL",12220.0,"Auburn-Opelika, AL",1
41,LIMESTONE,AL,01083,3440.0,"HUNTSVILLE, AL",26620.0,"Huntsville, AL",1
42,LOWNDES,AL,01085,1.0,ALABAMA,33860.0,"Montgomery, AL",1
43,MACON,AL,01087,1.0,ALABAMA,,,1
44,MADISON,AL,01089,3440.0,"HUNTSVILLE, AL",26620.0,"Huntsville, AL",1
45,MARENGO,AL,01091,1.0,ALABAMA,,,1
46,MARION,AL,01093,1.0,ALABAMA,,,1
47,MARSHALL,AL,01095,1.0,ALABAMA,,,1
48,MOBILE,AL,01097,5160.0,"MOBILE, AL",33660.0,"Mobile, AL",1
49,MONROE,AL,01099,1.0,ALABAMA,,,1
50,MONTGOMERY,AL,01101,5240.0,"MONTGOMERY, AL",33860.0,"Montgomery, AL",1
51,MORGAN,AL,01103,2030.0,"DECATUR, AL",19460.0,"Decatur, AL",1
52,PERRY,AL,01105,1.0,ALABAMA,,,1
53,PICKENS,AL,01107,1.0,ALABAMA,,,1
54,PIKE,AL,01109,1.0,ALABAMA,,,1
55,RANDOLPH,AL,01111,1.0,ALABAMA,,,1
56,RUSSELL,AL,01113,1800.0,"COLUMBUS, GA-AL",17980.0,"Columbus, GA-AL",1
57,ST. CLAIR,AL,01115,1000.0,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",1
58,SHELBY,AL,01117,1000.0,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",1
59,SUMTER,AL,01119,1.0,ALABAMA,,,1
60,TALLADEGA,AL,01121,1.0,ALABAMA,,,1
61,TALLAPOOSA,AL,01123,1.0,ALABAMA,,,1
62,TUSCALOOSA,AL,01125,8600.0,"TUSCALOOSA, AL",46220.0,"Tuscaloosa, AL",1
63,WALKER,AL,01127,1.0,ALABAMA,13820.0,"Birmingham-Hoover, AL",1
64,WASHINGTON,AL,01129,1.0,ALABAMA,,,1
65,WILCOX,AL,01131,1.0,ALABAMA,,,1
66,WINSTON,AL,01133,1.0,ALABAMA,,,1
67,STATEWIDE,AL,01990,1.0,ALABAMA,,,1
68,ALEUTIANS EAST,AK,02013,2.0,ALASKA,,,2
69,ALEUTIANS WEST,AK,02016,2.0,ALASKA,,,2
70,ANCHORAGE,AK,02020,380.0,"ANCHORAGE,AK",11260.0,"Anchorage, AK",2
71,ANGOON,AK,02031,2.0,ALASKA,,,2
72,BARROW-NORTH SLOPE,AK,02040,2.0,ALASKA,,,2
73,BETHEL,AK,02050,2.0,ALASKA,,,2
74,BRISTOL BAY BOROUGH,AK,02060,2.0,ALASKA,,,2
75,DENALI,AK,02068,2.0,ALASKA,,,2
76,DILLINGHAM,AK,02070,2.0,ALASKA,,,2
77,CORDOVA-MCCARTHY,AK,02080,2.0,ALASKA,,,2
78,FAIRBANKS NORTH STAR,AK,02090,2.0,ALASKA,21820.0,"Fairbanks, AK",2
79,HAINES,AK,02100,2.0,ALASKA,,,2
80,HOONAH-ANGOON CENSUS AREA,AK,02105,,,,,2
81,JUNEAU,AK,02110,2.0,ALASKA,,,2
82,KENAI-COOK INLET,AK,02120,2.0,ALASKA,,,2
83,KENAI PENINSULA,AK,02122,2.0,ALASKA,,,2
84,KETCHIKAN GATEWAY,AK,02130,2.0,ALASKA,,,2
85,KOBUK,AK,02140,2.0,ALASKA,,,2
86,KODIAK ISLAND BOROUGH,AK,02150,2.0,ALASKA,,,2
87,KSUKOKWIN,AK,02160,2.0,ALASKA,,,2
88,LAKE AND PENINSULA,AK,02164,2.0,ALASKA,,,2
89,MATANUSKA-SUSITNA,AK,02170,2.0,ALASKA,11260.0,"Anchorage, AK",2
90,NOME,AK,02180,2.0,ALASKA,,,2
91,NORTH SLOPE BOROUH,AK,02185,2.0,ALASKA,,,2
92,NORTHWEST ARTIC BOROUGH,AK,02188,2.0,ALASKA,,,2
93,OUTER KETCHIKAN,AK,02190,2.0,ALASKA,,,2
94,PETERSBURG CENSUS AREA,AK,02195,,,,,2
95,PR.OF WALES-HYDER CNS AREA,AK,02198,,,,,2
96,PR.OF WALES,AK,02200,2.0,ALASKA,,,2
97,PR.OF WALES-OUT.KETCHIKAN,AK,02201,2.0,ALASKA,,,2
98,SEWARD,AK,02210,2.0,ALASKA,,,2
99,SITKA BOROUGH,AK,02220,2.0,ALASKA,,,2
100,SKAGWAY-YAKUTAT,AK,02230,2.0,ALASKA,,,2
101,SKAGWAY-YAKUTAT-ANGOON,AK,02231,2.0,ALASKA,,,2
102,SKAGWAY-HOONAH-ANGOON,AK,02232,2.0,ALASKA,,,2
103,SOUTHEAST FAIRBANKS,AK,02240,2.0,ALASKA,,,2
104,UPPER YUKON,AK,02250,2.0,ALASKA,,,2
105,VALDEZ-CHITNA-WHITTIER,AK,02260,2.0,ALASKA,,,2
106,VALDEZ-CORDOVA,AK,02261,2.0,ALASKA,,,2
107,WADE HAMPTON,AK,02270,2.0,ALASKA,,,2
108,WRANGELL CITY AND BOROUGH,AK,02275,,,,,2
109,WRANGELL-PETERSBURG,AK,02280,2.0,ALASKA,,,2
110,YAKUTAT BOROUGH,AK,02282,2.0,ALASKA,,,2
111,YUKON-KOYUKUK,AK,02290,2.0,ALASKA,,,2
112,STATEWIDE,AK,02990,2.0,ALASKA,,,2
113,APACHE,AZ,04001,3.0,ARIZONA,,,4
114,COCHISE,AZ,04003,3.0,ARIZONA,,,4
115,COCONINO,AZ,04005,2620.0,"FLAGSTAFF, ARIZONA-UTAH",22380.0,"Flagstaff, AZ",4
116,GILA,AZ,04007,3.0,ARIZONA,,,4
117,GRAHAM,AZ,04009,3.0,ARIZONA,,,4
118,GREENLEE,AZ,04011,3.0,ARIZONA,,,4
119,LAPAZ,AZ,04012,3.0,ARIZONA,,,4
120,MARICOPA,AZ,04013,6200.0,"PHOENIX-MESA, AZ",38060.0,"Phoenix-Mesa-Scottsdale, AZ",4
121,MOHAVE,AZ,04015,4120.0,"LAS VEGAS, NV-AZ",,,4
122,NAVAJO,AZ,04017,3.0,ARIZONA,,,4
123,PIMA,AZ,04019,8520.0,"TUCSON, AZ",46060.0,"Tucson, AZ",4
124,PINAL,AZ,04021,6200.0,"PHOENIX-MESA, AZ",38060.0,"Phoenix-Mesa-Scottsdale, AZ",4
125,SANTA CRUZ,AZ,04023,3.0,ARIZONA,,,4
126,YAVAPAI,AZ,04025,3.0,ARIZONA,39140.0,"Prescott, AZ",4
127,YUMA,AZ,04027,9360.0,"YUMA, AZ",49740.0,"Yuma, AZ",4
128,STATEWIDE,AZ,04990,3.0,ARIZONA,,,4
129,ARKANSAS,AR,05001,4.0,ARKANSAS,,,5
130,ASHLEY,AR,05003,4.0,ARKANSAS,,,5
131,BAXTER,AR,05005,4.0,ARKANSAS,,,5
132,BENTON,AR,05007,2580.0,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",22220.0,"Fayetteville-Springdale-Rogers, AR-MO",5
133,BOONE,AR,05009,4.0,ARKANSAS,,,5
134,BRADLEY,AR,05011,4.0,ARKANSAS,,,5
135,CALHOUN,AR,05013,4.0,ARKANSAS,,,5
136,CARROLL,AR,05015,4.0,ARKANSAS,,,5
137,CHICOT,AR,05017,4.0,ARKANSAS,,,5
138,CLARK,AR,05019,4.0,ARKANSAS,,,5
139,CLAY,AR,05021,4.0,ARKANSAS,,,5
140,CLEBURNE,AR,05023,4.0,ARKANSAS,,,5
141,CLEVELAND,AR,05025,4.0,ARKANSAS,38220.0,"Pine Bluff, AR",5
